date,lead5_primary_action,lead5_primary_execution_signal,lead5_primary_applied_orders,lead5_primary_weight,lead5_primary_gross_ret1d,lead5_primary_trade_cost1d,lead5_primary_strategy_ret1d,lead5_primary_turnover1d,lead5_primary_trade_count,lead5_primary_nav,lead10_primary_action,lead10_primary_execution_signal,lead10_primary_applied_orders,lead10_primary_weight,lead10_primary_gross_ret1d,lead10_primary_trade_cost1d,lead10_primary_strategy_ret1d,lead10_primary_turnover1d,lead10_primary_trade_count,lead10_primary_nav,spy_ret1d
2025-02-21,SHORT_TERM_WATCH,NONE,NONE,1.0,-0.01710403634335833,0.0,-0.01710403634335833,0.0,0,3.1290553792109117,SHORT_TERM_WATCH,NONE,NONE,1.0,-0.01710403634335833,0.0,-0.01710403634335833,0.0,0,3.245230794110981,-0.01710403634335833
2025-02-20,HOLD_STRATEGIC,NONE,NONE,1.0,-0.004160316979602174,0.0,-0.004160316979602174,0.0,0,3.1835061846932105,HOLD_STRATEGIC,NONE,NONE,1.0,-0.004160316979602174,0.0,-0.004160316979602174,0.0,0,3.3017032464329543,-0.004160316979602174
2025-02-19,HOLD_STRATEGIC,NONE,NONE,1.0,0.0023548915123019487,0.0,0.0023548915123019487,0.0,0,3.196805910603587,HOLD_STRATEGIC,NONE,NONE,1.0,0.0023548915123019487,0.0,0.0023548915123019487,0.0,0,3.315496763915689,0.0023548915123019487
2025-02-18,HOLD_STRATEGIC,NONE,NONE,1.0,0.0029359756168583218,0.0,0.0029359756168583218,0.0,0,3.1892954657809964,HOLD_STRATEGIC,NONE,NONE,1.0,0.0029359756168583218,0.0,0.0029359756168583218,0.0,0,3.307707471665486,0.0029359756168583218
2025-02-14,HOLD_STRATEGIC,NONE,NONE,1.0,-4.932211962360711e-05,0.0,-4.932211962360711e-05,0.0,0,3.179959183156644,HOLD_STRATEGIC,NONE,NONE,1.0,-4.932211962360711e-05,0.0,-4.932211962360711e-05,0.0,0,3.2980245519970226,-4.932211962360711e-05
2025-02-13,HOLD_STRATEGIC,NONE,NONE,1.0,0.010557573548127586,0.0,0.010557573548127586,0.0,0,3.180116033220051,HOLD_STRATEGIC,NONE,NONE,1.0,0.010557573548127586,0.0,0.010557573548127586,0.0,0,3.298187225581904,0.010557573548127586
2025-02-12,HOLD_STRATEGIC,NONE,NONE,1.0,-0.003221594137696404,0.0,-0.003221594137696404,0.0,0,3.146892484368283,HOLD_STRATEGIC,NONE,NONE,1.0,-0.003221594137696404,0.0,-0.003221594137696404,0.0,0,3.2637301544352124,-0.003221594137696404
2025-02-11,HOLD_STRATEGIC,NONE,NONE,1.0,0.000760604563218914,0.0,0.000760604563218914,0.0,0,3.157063260861812,HOLD_STRATEGIC,NONE,NONE,1.0,0.000760604563218914,0.0,0.000760604563218914,0.0,0,3.2742785510203647,0.000760604563218914
2025-02-10,HOLD_STRATEGIC,NONE,NONE,1.0,0.006791197653968517,0.0,0.006791197653968517,0.0,0,3.1546638091731336,HOLD_STRATEGIC,NONE,NONE,1.0,0.006791197653968517,0.0,0.006791197653968517,0.0,0,3.271790012606882,0.006791197653968517
2025-02-07,HOLD_STRATEGIC,NONE,NONE,1.0,-0.00915350336018872,0.0,-0.00915350336018872,0.0,0,3.133384376546152,HOLD_STRATEGIC,NONE,NONE,1.0,-0.00915350336018872,0.0,-0.00915350336018872,0.0,0,3.2497205182473077,-0.00915350336018872
